"YEAR","MNC","NIFTY","MIDCAP"
2001,23.5879249199897,39.7049481188678,50.1980846361627
2002,26.2055911274506,22.6604081974771,24.8605168577785
2003,16.2270323228801,15.9841839749125,14.2039297666881
2004,33.5121197039171,29.9371894155336,27.7735447431757
2005,10.6467742072637,13.0399684607731,12.9047509519793
2006,34.057253265238,29.8714789904775,37.3345482898235
2007,15.5812771371046,15.3340829733089,16.3527650450984
2008,52.983940479971,59.8559125933348,66.5618899170934
2009,9.58090711031889,17.5655544698778,25.5763871294654
2010,10.3619498916167,10.6620848953009,14.3848673954932
2011,16.6449177512757,26.2017669221775,32.3119183764997
2012,10.1164157385123,13.7592181411234,15.1750753365869
2013,14.5296258454576,14.5830976354791,26.5588297188619
2014,8.1078191895922,6.50248886560125,9.15023416317475
2015,12.7903671984539,15.9783243017924,12.9382996992901
